dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.172867 0.684010 1.627472 -937217.374032 0.999993 562330.424419 3337373.623131 2368742.359499 719326.778920 473486.973726 0.533494 0.533494 406710500105001.062500 0.276090

0.172782 0.683458 1.626984 -937367.460083 0.998269 562420.476050 3283938.279628 2331202.360185 627761.078194 429841.609229 0.533409 0.533409 406533498334983.375000 0.275977

0.172643 0.682668 1.630620 -935490.341028 0.999715 561294.204617 3478648.005926 2415161.241297 716917.538626 477012.847400 0.534479 0.534479 406632499324993.250000 0.275932

0.172763 0.683079 1.628969 -934796.212601 0.999983 560877.727560 3413744.989735 2417697.283034 707253.921850 471593.678467 0.534876 0.534876 406716500165001.625000 0.275943

0.172891 0.683229 1.627242 -934180.878263 0.999993 560508.526958 3448444.294557 2398460.003306 689698.252027 463643.517558 0.535228 0.535228 406710500105001.062500 0.275950

0.172934 0.683505 1.627486 -941582.614064 0.999575 564949.568439 3284291.046120 2395853.487912 661923.651836 447905.106676 0.531021 0.531021 406782500825008.250000 0.276006

0.173062 0.683656 1.625759 -934647.736740 0.999032 560788.642044 3296109.445154 2415550.542644 702113.035111 466930.930336 0.534961 0.534961 406824501245012.437500 0.276090

0.173106 0.683545 1.626588 -938722.069171 0.998566 563233.241503 3271172.666403 2413583.179609 667155.740295 450669.104679 0.532639 0.532639 406851501515015.125000 0.276193

0.172964 0.683044 1.628624 -899736.128968 0.995703 539841.677381 3983352.479917 2562679.453971 1112413.151060 649262.966918 0.555718 0.555718 406437497374973.750000 0.276015

0.173037 0.683503 1.626475 -935130.406100 0.999959 561078.243660 3303743.815395 2363767.384969 689753.521895 459657.339348 0.534685 0.534685 406725500255002.562500 0.276032

0.172989 0.683197 1.627907 -937997.040660 1.000000 562798.224396 3351148.120868 2348053.500558 668239.226237 450296.308316 0.533051 0.533051 406698499984999.875000 0.276031

0.173001 0.683274 1.627549 -938281.552562 0.999999 562968.931537 3381878.492887 2330137.744745 681258.450321 456053.638380 0.532889 0.532889 406695499954999.562500 0.276028

0.173025 0.683426 1.626833 -936846.218762 0.999983 562107.731257 3288877.589929 2331908.581491 661618.254525 445566.484484 0.533706 0.533706 406716500165001.625000 0.276039

0.173007 0.683312 1.627370 -938104.270276 0.997364 562862.562166 3395928.476644 2335288.505704 688976.069484 459957.880441 0.532990 0.532990 406905502055020.562500 0.276179

0.172967 0.683253 1.627493 -899495.637898 0.995800 539697.382739 4034714.503942 2533129.753841 1052524.932876 627859.178561 0.555867 0.555867 406440497404974.062500 0.276003

0.173053 0.683272 1.627044 -934632.660473 0.999912 560779.596284 3398195.191571 2334752.859854 717376.802344 472466.476104 0.534970 0.534970 406737500375003.750000 0.276028

0.173000 0.683137 1.627525 -938233.134287 0.999959 562939.880572 3398661.280552 2358924.682731 673808.650934 454079.747892 0.532917 0.532917 406674499744997.437500 0.276011

0.173069 0.683020 1.627219 -936290.353169 0.999976 561774.211901 3436877.160169 2317864.634019 664325.649830 448897.661082 0.534022 0.534022 406719500195001.937500 0.276024

0.172993 0.682832 1.627785 -939366.185320 0.999605 563619.711192 3455518.415163 2335984.142854 668133.223717 451633.493150 0.532274 0.532274 406620499204992.062500 0.275970

0.172927 0.682959 1.627987 -937145.439130 0.999996 562287.263478 3454217.380134 2363488.731581 712548.717531 472585.919198 0.533535 0.533535 406692499924999.250000 0.275965

0.172963 0.682974 1.627795 -938823.878244 0.999999 563294.326947 3460589.585410 2375797.226155 700742.816178 467959.617501 0.532581 0.532581 406695499954999.562500 0.275962

0.172970 0.682734 1.627863 -938978.319209 0.999926 563386.991526 3455581.591084 2360706.603469 662072.132506 449761.967703 0.532494 0.532494 406665499654996.562500 0.275939

0.173013 0.682737 1.627637 -937400.731284 0.999996 562440.438770 3474328.573371 2339011.424801 672484.200146 454054.203745 0.533390 0.533390 406692499924999.250000 0.275933

0.172975 0.682915 1.627756 -936003.782189 0.999996 561602.269313 3492559.026030 2362451.856849 710069.678536 472160.351614 0.534186 0.534186 406707500075000.750000 0.275939

0.172997 0.682916 1.627643 -935502.044750 0.999999 561301.226850 3471272.839841 2350310.959077 694307.494365 464287.381951 0.534472 0.534472 406704500045000.437500 0.275942

0.172985 0.682867 1.627681 -938819.342956 1.000000 563291.605774 3501055.160117 2350392.765666 696904.599703 465982.005915 0.532584 0.532584 406698499984999.875000 0.275941

0.172981 0.682987 1.627648 -935057.077605 0.999926 561034.246563 3450549.349669 2367470.917762 713499.000491 473094.129818 0.534727 0.534727 406734500345003.437500 0.275964

0.173007 0.682868 1.627568 -938757.108581 0.999968 563254.265148 3468901.535588 2337772.218401 664342.194050 450190.530550 0.532619 0.532619 406677499774997.750000 0.275949

0.172998 0.682908 1.627524 -937202.316547 0.999999 562321.389928 3500441.549154 2346195.059684 701470.108344 467841.124692 0.533503 0.533503 406695499954999.562500 0.275946
